exhibition_name,poster_link,exhibition_description,exhibition_period,exhibition_place
"민담회, 하하 호호展",https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1652402185438.jpg,"
전시소개

민담회는 인천광역시 여성복지관 정규 강좌인 민화반 수강생들이 배우고 익힌 민화를 통하여 만든 동호회이다.
민담회는 전통을 잇고 고전미 넘치는 민화뿐만 아니라 현대적인 멋을 가미한 창작 민화에 이르기까지 다양한 작품을 선보인다.
해당 공연·전시 프로그램은 주최자·공연자 등의 사정에 따라 변경될 수 있습니다.
1688-2220
",2022. 5. 18.~2022. 5. 26.,인천 | 인천광역시교육청평생학습관
"강희산, 학해무변(學海無邊)",https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1652402143406.jpg,"
전시소개

전시 제목인 학해무변(學海無邊)은 ‘학문의 세계는 끝이 없다.’ 뜻으로 평생학습관 이미지와 제법 어울린다. 문인화는 십군자(十君子, 매, 난, 국, 죽, 목단, 연, 목련, 파초, 포도, 소나무)와 서예는 대표 오서체 중 전서(篆書)와 예서(隸書)만 선보인다.
해당 공연·전시 프로그램은 주최자·공연자 등의 사정에 따라 변경될 수 있습니다.
1688-2220
",2022. 5. 18.~2022. 5. 26.,인천 | 인천광역시교육청평생학습관
"2022 고양아트마켓  Part 2. 미술관, 자연을 사유하다",https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1648536573077.jpg,"
전시소개

무용하지만 아름다운 것들을 만들어내는 미술은 기후위기 시대에 어떤 의미를 가지게 될까요?
미술관은 자연의 소중함을 일깨워주는 교육적 공간이 되거나, 시대가 요구하는 인간의 성찰력을 예술적으로 표현할 수 있는 공적 공간이 될 수 있습니다.
미술관은 자연을 비-필수적으로 사용하고 폐기하는 낭비의 공간이지만, 어쩌면 이 장소와 연결된 사람들에게 경제활동의 기회를 주는 물리적 공간이 되기도 합니다.
고양아람누리 해받이터 공간에 전시된 고양시 작가 스무 명의 작품을 보시면서 다양한 관점을 사유해보시기 바랍니다. 모든 작품은 100만 원 이하로 구매하실 수 있습니다.
해당 공연·전시 프로그램은 주최자·공연자 등의 사정에 따라 변경될 수 있습니다.
1688-2220
",2022. 4. 13.~2022. 5. 25.,고양 | 고양아람누리 아람미술관
죽음에 관한 세 가지 고백,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1652235786022.jpg,"
전시소개

죽음에 관한 세 가지 고백
‘죽음에 관한 세 가지 고백’은 세 작가의 각각의 개성있는 작품으로구성 되어 있습니다.
1.사이: 캔버스에 아크릴 – ‘나는, 반드시 죽는다.’ 죽음의 일방성과 잔인성! 잔혹한 죽음, 죽음이 나와 우리에게 이제 멈추라고 말합니다. 생은 이제 끝이 났다고 말합니다. 생의 시간은 매일이 살아 내기 위한 사투였으니, 종료의 시간은 두렵기만 합니다. 죽음에 직면하는 나의 얼굴을 그려봅니다.
2.찰리: 광목 천 위에 실 드로잉 – ‘폭풍이 지나간 자리’ 죽음은 항상 폭풍처럼 찾아옵니다. 예상하고 준비해도, 죽음이 지나간 자리에는 부서지고, 깨지고, 다친 상처가 남게 됩니다. 죽음이 지나간 자리의 혼란스러운 황폐함을, 온몸의 껍질이 다 벗겨진 것 같은 허무함과 고통스러운 절망 속에 여전히 살아있는 것들에 대한 이야기를 그려봅니다.
3.보선: 재료 혼합 설치(관 분양소) – ‘어서 오세요. 관 분양소’ 우리는 죽음을 언제 맞이할지 모릅니다. 삶과 죽음의 경계는 뚜렷하지 않지요. 죽음을 맞이한 후, 슬픔과 연민의 탄식이 아닌 ‘잘 살아냈다’ 는 축하의 박수를 받길 바라며 관 분양소를 마련했습니다. 알록달록한 디자인부터 민무늬 관까지 나만의 관을 마련해보세요.
해당 공연·전시 프로그램은 주최자·공연자 등의 사정에 따라 변경될 수 있습니다.
1688-2220
",2022. 5. 16.~2022. 5. 22.,서울 | 어반플루토
2022 제100회 어린이날 기념 공예전시 '나도 어린이 공예작가' 어린이 꿈 공방,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1651797499162.jpg,"
전시소개


2022 제100회 어린이날 기념하여 진행되는 어린이 공예 전시
<나도 어린이 공예작가 - 어린이 꿈 공방>을 소개해요!

전국 5개 권역에서 모인 어린이 50명과 청년공예작가 50명의 합동작품 전시와 공예가를 꿈꿔볼수 있는 다양한 체험들을 경험하러 오세요


해당 공연·전시 프로그램은 주최자·공연자 등의 사정에 따라 변경될 수 있습니다.
1688-2220
",2022. 5. 4.~2022. 5. 16.,서울 | KCDF갤러리
"화교들의 항일운동 -1943년 인천, 일동회",https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1645661700162.jpg,"
전시소개

* 전   시   명 : 화교들의 항일운동 -1943년 인천, 일동회
* 전시  기간 : 2022. 3. 1.(화) ~ 5. 15.(일)
* 전시  장소 : 인천시립박물관 1층 갤러리 한나루
* 전시  내용 : 인천 화교의 항일단체 일동회와 1943년 인천 
해당 공연·전시 프로그램은 주최자·공연자 등의 사정에 따라 변경될 수 있습니다.
1688-2220
",2022. 3. 1.~2022. 5. 15.,인천 | 인천시립박물관
01 : 뼘 소묘전,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1651466438434.jpg,"
전시소개

01 : 뼘 소묘전

<여름 비가 내리는 등산로>
먼 옛날 농촌 마을에는 여름 비가 내리면 할 수 있는 일이 없었다고 한다. 차라리 이때 늘어지게 자는 게 낫다고 붙인 순우리말이 ‘잠비’이다. 엎어진 김에 쉬어가자는 조상님의 지혜인가 보다.
한 시간째 째려봤다. 아무렇게나 뻗어있는 것 같아 보여도 분명히 규칙이 있을 거라는 생각 때문이었다. 매끈한 표면에 갑자기 구멍을 뚫고 새 가지가 난다. 이걸 옹이라고 하나? 꼭 그렇게 가지 중간에 터진 자국이 있고, 그 안에 누가 새 걸 꼽은 것처럼 자란다. 어떤 건 가지로 쭉쭉 뻗어나가지만 어떤 건 뭉툭하게 마침표를 맺으며 갈림길을 만든다. 이 많은 옹이들 중에 더 이상 가지가 뻗지 않는 것과 그렇지 않은 것은 무슨 차이인지, 옹이가 가지를 따라 나선형으로 돌아 나는 건지, 옹이의 간격은 누가 정하는 건지. 답해주지 않는다. 직접 알아내야 한다. 나무의 갈퀴손에 빗긴 구름이 수없이 흘러갔다. 그래도 잘 모르겠다. 분명히 답은 어딘가에 있을 텐데. 똑같이 막막한 상황이어도 애매한 확신이 남아있을 때 더 안달 나는 것 같다. 잔가지들의 섬세한 원근감이 몹시 탐난다. 태초의 지구에서 풀이 수천 년을 버텨 나무가 됐다던데. 외떡잎. 쌍떡잎. 뭐, 잎의 성장 방향이 돌아서 나냐 아니냐 뭐 그런 거랑 비슷한 원리일까? 초등학교 과학시간에 조금 더 집중할걸. 구시렁대며 누워있던 등산로 벤치에서 일어나자 뒤집어쓰고 있던 후드 안으로 바람이 한껏 일었다. 그 덕에 감지 않은 머리 냄새가 훅 끼쳤다.
퇴사한 후 병원에서 번아웃 진단을 받았다. 20대 끝자락에 여름비가 죽죽 내려댔다.

뒤늦게 재봤다. 내 한 뼘은 16cm이다. 차곡차곡 눌러 쓴 필기처럼 살고픈 마음과 다르게 그간 빠르고 정신없기만 했던 것 같다. 번(Burn) 아웃이라니. 스스로를 무엇에 불태운 걸까. 뭐라도 주워 담지 않으면 모든 게 그냥 지나칠 것 같았다. 그래서 무작정 그렸다. 언제 어디서든 구하기 쉬운 재료로. 전시작이 모두 16cm인 건 아니지만. 당시 주어진 환경에서 부릴 수 있는 욕심이 딱 그 정도였던 것 같다. 궁금한 걸 알기 위해 채집한 나뭇가지와 뿌리째 뽑은 명아주, 자연 배경사진을 콜라주 해서 그리는 게 전부였는데 시간이 지나 점점 살이 붙었다.

왜 하필 소묘냐는 질문을 많이 듣는다. 대부분의 작가들이 그러하듯 좋아하는 것에서 출발했다. 집에서 키우는 동물보단 야생의 식물을 선호한다. 생각이나 상황이 정리되지 않았는데 말 걸지 않아서 좋다. 빽빽하게 심어진 나무 아래를 지나갈 때. 어둠이 싸늘하게 밀착하면서 빛에 지친 안구를 뻐근하게 누르는 감각이 좋다. 산이 좋다. 함부로 판단하지 않고 그저 그 자리에 우직하게 기다려주는 뿌리와 숲을 존경한다. 그래서 조용한 것을 동경한다. 단정한 흑백사진, 백색소음, 침묵마저 편한 사이, 기승전결이 평평한 슬로 무비, 시야가 지평선까지 내달리는 허허벌판, 지는 해의 임종을 지키며 반짝이는 잎사귀처럼. 오감으로 느낄 수 있는 정적을 동경한다. 보통 사람은 자신이 가지지 못한 걸 동경한다. 그래서 소묘를 그렸다.

번아웃 발병률은 보통 20대 후반에서 30대 초반에 가장 높다. 의사선생님께 처방받은 것은 약간의 약과 햇빛을 보며 산책하기, 30분 내외의 운동, 제때 밥 먹기, 수면시간 충분히 지키기였다. 듣다 보니 서글퍼졌다. ‘정신질환은 삶에서 기본적으로 누려야 하는 것을 지킬 수 없을 때 생기는 것 같아요.’라고 말했다. 선생님은 조용히 고개를 끄덕이셨다.

<01 : 뼘 소묘전>을 통해 어디서든 1인분 이상의 마음고생을하는 모두를 위로하고 싶다. 이 전시의 홍보영상 시리즈는 흑백 슬로 무비이다. 색이 빈자리를 소리로 채우기 위해, ASMR 마이크를 사용하여 샤프 소리를 생생하게 담았다. 또 쿠키영상을 통해 각각 인스타 핫플레이스 탐방, 인형 만들기, 디퓨져 만들 기 등, 일상에 치이면서 ‘언젠간 해야지’하고 미뤄왔던 것과 숙면, 기상, 햇빛 보기와 같이 건강한 일상으로 채웠다.

이렇듯 <01 : 뼘 소묘전>은 한 번에 너무 많은 것을 설명하는 형형색색의 세상에서 제한된 자유를 선사한다.

<한 뼘짜리 자신감, 무엇으로부터>
노력만큼 결과가 꼭 돌아오지도, 계획만큼 생각대로 착착 흘러가지도 않는다. 그래서 도박이 아닌 삶, 임기응변이 아닌 삶은 없다. 이 우거진 터널 끝 어딘가에 내 고향이 있으리라. 애매한 확신을 손에 쥐고서 어제 걷던 길을 오늘도 내일도 걷는다. 타향살이 월세 비용은 나와 상관없다는 듯 쳐졌던 몸도, 필요했기 때문에 원하는 것을 등져야 했던 나날들도 원망하지 않는다. 다만 앞으로 떳떳하게 ‘그림 그리는 사람’이라고 소개하고 싶다. 그래서 딱 할 수 있는 만큼 꾸준할 뿐이다. 습도에 맞춰 바랜 종이와 명도만 남은 세상에서 잊고 있던 가치를 되새긴다. 여기서 당신의 한 뼘도 찾아가길 바라며. 잠비로부터.
해당 공연·전시 프로그램은 주최자·공연자 등의 사정에 따라 변경될 수 있습니다.
1688-2220
",2022. 5. 12.~2022. 5. 14.,서울 | 어반플루토
아트스페이스카고 프리오픈 전시 테스트플라이트 : 날과 날의 사고,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1647475408286.jpg,"
전시소개


아트 스페이스 카고 프리오픈 전시
테스트 플라이트 : 날과 날의 사고
2022.03.15-2022.05.13

한자연 [03.15-03.25]
Cosmosroom [03.29-04.08]
엄지은 [04.19-04.29]
손희민 [05.03-05.13]

기획 유세훈 양수진
기획보 임주희
그래픽 고은
영상 전지혜

사진 윤호준

제작 아트스페이스카고

해당 공연·전시 프로그램은 주최자·공연자 등의 사정에 따라 변경될 수 있습니다.
1688-2220
",2022. 3. 15.~2022. 5. 13.,인천 | 아트스페이스카고
이기원(murim): 장르의 확장,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1651558053812.jpg,"
전시소개


이기원 작가의 기본적 구성은 주변에서 자주 보는 거리의 풍경과 인물의 페이소스(Pathos, 예술적 표현이 정서적 호소력 지님)에 초점을 맞추었다. 작품 속의 전체적인 인물의 페이소스는 은유, 연민, 동정심 등의 감정을 일으키는 데 있다. 또한, 데자뷔(deja vu, 기시감(旣視感), 어디서 본듯함)를 작품 속에 새겨, 예전에 타자에게 들려주고 싶은 이야기의 기억을 담으려고 노력하고 있다.
해당 공연·전시 프로그램은 주최자·공연자 등의 사정에 따라 변경될 수 있습니다.
1688-2220
",2022. 5. 3.~2022. 5. 12.,인천 | 인천광역시교육청평생학습관
응시(凝視),https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1651557987566.jpg,"
전시소개

사물을 관찰하고 바라보는 방식에는 관조(觀照), 시선(視線), 응시(凝視), 주시(注視) 등 다양한 방법 중 임휴 작가는 응시를 선택했다. 임휴 작가의 응시는 프랑스 정신분석학자 라캉 《세미나 1: 프로이트의 기술 에세이》(1953~1954)의 응시를 인용하였다. 또한, 시선과 응시가 분열되는 그 지점 시각의 영역에 나타나는 충돌을 그리고 있으며, 가시적인 이미지 너머의 실재(實在)를 발견하는 방법을 찾아 작품으로 표현하였다.
해당 공연·전시 프로그램은 주최자·공연자 등의 사정에 따라 변경될 수 있습니다.
1688-2220
",2022. 5. 3.~2022. 5. 12.,인천 | 인천광역시교육청평생학습관
색상 공간 그리고 생각,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1650862270839.jpg,"
전시소개

우리는 살면서 수많은 공간에 있었고 또 현재에 어느 공간에도 있고, 여러가지 색상을 보고 느끼고 스칩니다. 특별하지 않아서 기억에 없었고 그래서 특별하지 않다고 느끼는 현재의 일상을 위하여 색상으로 이야기하는 wonhee_artwork 와 공간과 색상으로 이야기는 INVSBL의 만남으로 두 작가가 마련한 특별한 이곳에서 관람객인 우리는 여러분의 삶은 특별하다고 이번 전시에서 알려주고 싶었습니다. 또한 이 전시를 보게 되는 모든 분들이 그림을 볼 때는 힘든 일을 잊기를 바랍니다. 그리고 종종 생각나는 스팟이 되길 바랍니다.

해당 공연·전시 프로그램은 주최자·공연자 등의 사정에 따라 변경될 수 있습니다.
1688-2220
",2022. 5. 3.~2022. 5. 10.,서울 | 어반플루토
Rebooting_제42회 도림전,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1651798368642.jpg,"
전시소개
이화여자대학교 도예과 동창회 동문전인 도림전(陶林展)이 2022년 5월 4일부터 5월 9일까지 KCDF갤러리(서울시 종로구 관훈동)에서 열린다. 
올해로 42번째를 맞이한 도림전은 총 61명이 참여한 가운데 조정현 · 김수정 · 유혜자 명예교수와 1기부터 48기 신입회원까지 도예과 선후배들이 서로의 작품을 선보이며 격려하는 전시이다. 

이제 긴 코로나19의 시간을 지나 많은 것들이 변화한 새로운 시대가 되였다. 
도림전도 전시의 부제를 Rebooting(변화의 시대, 우리의 삶을 ‘리부팅’하다.)로 정하고 시대와 함께 새로운 출발을 하려 한다. 

이번 도림전을 통해 이화여자대학교 도예과 동창회 동문전의 새로운 변화를 보실 수 있을 것이다.

전시를 관람하지 못하시거나 다시 관람하시고자 하는 분들은 도림회 누리집 (https://www.ewhadorim.com) VR가상 갤러리에서 1년간 관람할 수 있다.

해당 공연·전시 프로그램은 주최자·공연자 등의 사정에 따라 변경될 수 있습니다.
1688-2220
",2022. 5. 4.~2022. 5. 9.,서울 | KCDF갤러리
모카 팔레트 MOKA PALETTE,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1636416912430.jpg,"
전시소개


‘자연적 감성을 통해 꿈을 키우는 미술관’ MOKA 가든은 개관 1주년을 맞아 자연의 색을 수집하고 새로운 색 이름을 짓는 <모카 팔레트 프로젝트>를 진행합니다.

《모카 팔레트》전시에서는 시각예술가, 작가, 디자이너, 수집가, 평론가, 플로리스트, 식물학자 등 48명의 참여 작가가 수집한 100개의 색과 색 이름을 소개합니다.
우리의 눈은 많은 색을 구별해낼 수 있으며, 우리는 이를 기준에 따라 분류, 정리하고 표준 이름을 정해 부르고있습니다. 디지털 그래픽의 발전으로 셀 수 없이 많은 색들이 만들어지는 오늘날엔 색 이름이 단순한 숫자와 글자의 조합물이기도 합니다.
시시각각 변화하며 발견되는 자연의 수 많은 아름다운 색들이 <모카 팔레트 프로젝트>에서 새로운 이름으로 불리웁니다. ‘MOKA 가든’만의 팔레트에 모인 색 이야기를 들어보세요.

‘하늘’하면 어떤 색이 떠오르나요?
《모카 팔레트》에는 21개의 하늘 색, 18개의 식물 색, 20개의 꽃 색, 5개의 동물 색, 6개의 열매 색, 25개의 공기·물·땅 색, 7개의 자연과 사람 색이 있습니다.
해당 공연·전시 프로그램은 주최자·공연자 등의 사정에 따라 변경될 수 있습니다.
1688-2220
",2021. 11. 5.~2022. 5. 8.,경기 | MOKA가든
빈 돌 Empty Stone,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1651191434123.jpg,"
전시소개

도예가 김광우 작가는 20년이상 국내외에서 도예작업을 비롯하여 장소특정적 설치작업과 퍼포먼스 작가로 활동해왔다. 
이번 전시에서는 오랜 도시생활을 떠나 자연과 가까이한 삶 이후 발견한 비움과 고요함을 작품에 반영한“허정” 虛靜  Emptiness Calmness을 주제로 한 도자 설치 작업을 선보인다.‘몽돌’의 형태를 한 라쿠 번조기법의 도자작업이 어우러진 공간설치 작업은 전시를 찾는 관람객에게 도시 속, 고요한 쉼의 터가 될 것이다.

김예성 KCDF갤러리 큐레이터
해당 공연·전시 프로그램은 주최자·공연자 등의 사정에 따라 변경될 수 있습니다.
1688-2220
",2022. 4. 27.~2022. 5. 2.,서울 | KCDF갤러리
류남희 도예전,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1651191349399.jpg,"
전시소개


도예가 류남희는 선을 강조하는 도자 조형작업을 해 온 작가로 제 1회 대한민국 공예대전에서 대상을 수상하였으며 서울 현대 도예 공모전에서 두번의 우수상을 수상하였다.
교육자로 작가로 흙과 함께 한 40년의 흔적을 정리하여 개인전을 개최한다.
해당 공연·전시 프로그램은 주최자·공연자 등의 사정에 따라 변경될 수 있습니다.
1688-2220
",2022. 4. 27.~2022. 5. 2.,서울 | KCDF갤러리
한보라 개인전 : 공존의 그늘,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1649913973738.jpg,"
전시소개

본 전시는 공존의 이면에 존재하는 그늘의 존재들에 대해 이야기한다. 우리는 우리가 살기 위해 많은 것들을 희생시키지만 너무 당연해, 그들의 가치를 모른다. 정작, 그들의 희생 없이는 살 수 없다는 것을 알면서도 말이다. 그 희생의 아바타로, 작가 한보라의 작품에서는 돼지가 등장한다. 작품 속, 돼지는 말한다.
‘평생 날 먹고 살았지만, 고마움도 모르는 배은망덕한 인간들. 나를 위한, 돼지의 날을 지정해 놓고 그 희생을 기려도 모자라건만, 고작 한다는 짓이, 삼겹살 데이냐고!’
그런 우리 인간들의 핍박에서 벗어나, 이번 전시의 돼지들은 우주로 떠났다. 그곳에서는 부디 새로운 신을 만나 돼지와 인간이 공존할 수 있는 그런 세상이 천지창조되기를 기원한다.
다음 말은 돼지가 마지막으로 지구를 떠나기 전에 남긴 똥이다. ‘더도 덜도 말고, 딱 나 없는 세상에서 한번 살아봐 이것들아.’ 본 전시는 그렇게 돼지가 우주를 떠나고 난 후의 이야기로 시작된다.
돼지를 넘어 우리의 모습으로, 누군가를 위해 끊임없이 희생을 강요받고 있는 우리 삶에 대한 환우까지 들여다 보며, 본 전시의 돼지 이야기가 삶의 교훈이 되고 희망이 되는 동화 같은 시간이 됐으면 한다.
해당 공연·전시 프로그램은 주최자·공연자 등의 사정에 따라 변경될 수 있습니다.
1688-2220
",2022. 4. 26.~2022. 5. 2.,서울 | 어반플루토
프로파간다 룸: 세상을 위해 숨을 참아라,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1650245519898.jpg,"
전시소개

김정모 작가가 말하는 프로파간다(propaganda, 사상 및 주장 따위의 선전 및 선동)는 포스터, 현수막, 피켓 등 다양한 이미지를 차용(借用) 하여 탄소 배출을 감소하자는 캠페인 성향의 작업이다. 과학자들은 인간의 호흡에서 발생하는 탄소가 기후변화와 상관없다고 하지만, 김 작가는 탄소 배출을 줄이고자 비상식적인 방법으로 숨을 참는 이미지로 구성하여 전시회 개최한다. 국내외에서 왕성하게 활동 중인 김 작가는 다소 기발한 아이디어를 가지고 웃음과 슬픔이 공존하며, 관람객들에게 환경 보호라는 메시지를 제시하고 있다. 탄소 배출이라는 관점에서 작가의 의도가 반영된 작품 20여 점 전시할 예정이다.
해당 공연·전시 프로그램은 주최자·공연자 등의 사정에 따라 변경될 수 있습니다.
1688-2220
",2022. 4. 20.~2022. 4. 28.,인천 | 인천광역시교육청평생학습관
"최옥실, 초월 - 빛의 정원",https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1650245408346.jpg,"
전시소개


스펙트럼(빛의 파장에 따른 성분의 분포)의 다양한 빛의 중첩과 파장을 표현한 최옥실 작가는 비가시적인 빛의 형상을 시각화하였다. 원형의 형상은 알 수 없는 은하계의 행성의 쾌적을 나타내기도 하지만, 시각적인 아름다운 빛과 색의 조화를 통해 빛의 정원을 표현하였다. 표현 방법에 있어서 부드러운 ‘스펀지 스트로크(Stroke, 두드리고 찍어내기)' 기법으로 색채와 중첩, 우연성의 번짐을 표현함으로써 신비로운 초월적 세계를 드러내었다. 몽환적이고 모호한 경계선은 스펀지의 압력에 따라 재생산되며 동시에 고행의 수도자처럼 고난의 결과물이기도 하다. 빛의 아름다움, 몽환 그리고 고행이 어우러진 작품 30여 점 전시할 예정이다.
해당 공연·전시 프로그램은 주최자·공연자 등의 사정에 따라 변경될 수 있습니다.
1688-2220
",2022. 4. 20.~2022. 4. 28.,인천 | 인천광역시교육청평생학습관
[아트뮤제 전시] 경계를 넘어 _ 이영애 展,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1648528923093.jpg,"
전시소개

참여 작가: 이영애

전시 장소: <롯데백화점 일산점> 1F 다락별장 內 아트뮤제 갤러리
전시 기간: 2022.04.01(금)~2022.04.28(목)
관람 시간: 백화점 시간과 동일
전시 문의: 031-909-3187, 02-543-6151

해당 공연·전시 프로그램은 주최자·공연자 등의 사정에 따라 변경될 수 있습니다.
1688-2220
",2022. 4. 1.~2022. 4. 28.,고양 | 아트뮤제갤러리 롯데백화점 일산점
Cockscomb Garden - 김숙 展,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1648528874946.jpg,"
전시소개


참여 작가: 이영애

전시 장소: <롯데백화점 일산점> 1F 다락별장 內 아트뮤제 갤러리
전시 기간: 2022.04.01(금)~2022.04.28(목)
관람 시간: 백화점 시간과 동일
전시 문의: 031-909-3187, 02-543-6151

해당 공연·전시 프로그램은 주최자·공연자 등의 사정에 따라 변경될 수 있습니다.
1688-2220
",2022. 4. 1.~2022. 4. 28.,고양 | 아트뮤제갤러리 롯데백화점 일산점
청오의 木茶具: 지리산 목수이야기,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1650588226920.jpg,"
전시소개

열두번째 청오의 木茶具 지리산 목수이야기
김 용 회
 
나무에 대해 생각하고 또 생각한다.
강한 햇빛과 비바람에 시달리며
버텨온 세월만큼
더디지만 천천히 작업한다.
살릴 것은 살리고 버려야 할 것은 과감히 쳐내며
마음을 비운다.
해당 공연·전시 프로그램은 주최자·공연자 등의 사정에 따라 변경될 수 있습니다.
1688-2220
",2022. 4. 20.~2022. 4. 25.,서울 | KCDF갤러리
정현정의 첫 번째 한지인형뎐,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1650588175525.jpg,"
전시소개

정현정의 첫 번째 한지인형뎐
 
 
한겹 한겹 한지로 형상을 드러낸 인형들 입니다. 
그들이 자신의 모습을 드러내도록 저는 잠시 손을 빌려준 듯 합니다. 
그저 얇은 한장의 종이인듯 하지만 저의 불완전한 계획과 실수도 너그러이 받아주는 한지를 만나 작업이 늘 즐겁습니다.
 
- 정 현 정 -
해당 공연·전시 프로그램은 주최자·공연자 등의 사정에 따라 변경될 수 있습니다.
1688-2220
",2022. 4. 20.~2022. 4. 25.,서울 | KCDF갤러리
이주현 제5회 개인전 : 패턴에서 입체로,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1650245738897.jpg,"
전시소개

2021년 한국기초조형학회에서 최우수작품상을 2회 수상하고 당해년도 최우수 신인작가상을 수상한 컨셉떼흐 이주현의 제5회 개인전 ‘패턴에서 입체로’에서는 자연의 형상을 모티브로 디자인된 네 가지의 패턴을 3차원 입체물에 적용한 작품을 선보입니다.
해당 공연·전시 프로그램은 주최자·공연자 등의 사정에 따라 변경될 수 있습니다.
1688-2220
",2022. 4. 22.~2022. 4. 25.,서울 | 어반플루토
투탕카멘 - 파라오의 비밀,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1643069230889.gif,"
전시소개


5,000년 역사의 이집트 파라오의 무덤 중 훼손되지 않은 채 발견된 온전한 무덤은 투탕카멘의 무덤이 유일합니다.
그 안에서 발굴된 화려한 유물들은 카이로의 이집트 박물관 건물 한 동을 가득 채우고도 남을 정도였습니다.

고고학 역사상 가장 위대한 성과라고 손꼽히는
투탕카멘 무덤의 발견 뒤에는고고학자 하워드 카터의 거듭된 실패와 좌절이 있었습니다.

그리고 그 끝에 마주한 경이로운 순간!

[발굴 100주년 기념 특별전 투탕카멘 : 파라오의 비밀]은 100년 전 하워드 카터가 마주한 그 놀라운 순간으로 초대합니다.



* 백신패스 적용 해제 안내
<투탕카멘 특별전>은 정부의 방역지침에 따라 1월 18일부터 방역패스를 해제하게 되어 안내드립니다.
이용에 착오 없으시기 바랍니다.
해당 공연·전시 프로그램은 주최자·공연자 등의 사정에 따라 변경될 수 있습니다.
1688-2220
",2021. 6. 6.~2022. 4. 24.,서울 | 용산전쟁기념관
야화도첩,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1648602898834.jpg,"
전시소개

어둡고 잠잠한 밤이기에 달은 밝게 떠오르고, 곳곳에 숨어있던 이야기들이 새어 나온다. 모든 숨 쉬는 것들이 잠든 밤이라서, 이야기의 파편들이 별처럼 빛난다. 깊은 밤을 가로지르는 별과 하늘의 강. 물살을 유영하는 용신님이 별을 흩어내며 이야기를 굽어본다. 달의 향기를 머금고 온 천지를 누비는 기이한 아름다움. 달이 뜬 밤이기에 속살거리는, 은근하고 기묘한 이야기의 일부를 엿본다.
‘야화도첩’은 민간설화의 일부를 들여다본다는 느낌으로 작품을 구상했다. 그것도 아주 깊은 밤에만 속달대는 것 같은 기이한 이야기들을. 이를 이야기의 파편이라고 표현했으며, 그림 작품과 함께 그 이야기들을 함께 전시한다.
해당 공연·전시 프로그램은 주최자·공연자 등의 사정에 따라 변경될 수 있습니다.
1688-2220
",2022. 4. 2.~2022. 4. 17.,서울 | 어반플루토
